㟸	山 白 大 十
㟹	山 耳 卯
㟺	山 口 十 口 女
㟻	車 斤 山
㟼	山 龶 万无横 攵
㟽	山 覀 示
㟾	山 广 肀 青字底
㟿	山 艹 犬 廾
㠀	鳥 山
㠁	山 厶 厶 厶 全字头 彡
㠂	山 龶 万无横 攵
㠃	山 亠 丷 冂 古
㠄	山 习 习 白
㠅	山 彳 卧人 日 夊
㠆	山 口 口 日 十
㠇	山 享字头 小 尤
㠈	山 門 王
㠉	山 立 里
㠊	山 虍 业
㠋	山 口 口 口 1 丂
㠌	山 其 欠
㠍	山 隹 木
㠎	山 隹 木
㠏	山 艹 簔字底心 十
㠐	山 夭 口 冂 口
㠑	山 罒 非
㠒	山 覀 示 刂
㠓	山 艹 冖 1 豕
